dates,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026,satname
2022-04-03 22:11:45+00:00,405.07,380.9628571,389.3538462,393.0633333,376.2333333,377.3533333,384.3033333,386.0072727,388.3372727,384.4872727,373.7833333,378.3133333,404.0644444,419.1166667,394.9066667,360.6744444,354.6833333,355.9133333,355.5938462,364.1533333,366.4866667,378.59,383.95,404.66,375.6144444,356.1066667,360.8366667,L9
2022-05-05 22:11:31+00:00,388.92,379.8957143,387.42,388.4833333,377.1433333,372.3633333,383.5133333,381.7481818,386.2081818,377.9781818,370.3733333,376.0233333,405.3344444,408.8466667,388.9466667,351.9344444,355.4633333,354.3633333,358.43,361.8233333,368.5466667,362.485,373.19,396.44,370.5044444,357.6366667,358.1566667,L9
2022-05-06 20:44:37+00:00,368.1,366.7585714,376.9515385,384.3,366.7,365.57,374.23,370.8254545,387.4254545,365.9054545,368.53,367.5,,,384.64,341.6366667,345.25,348.51,350.5615385,361.02,,,,,,,,L7
2022-05-06 22:05:29+00:00,380.72,378.2585714,384.3430769,391.33,369.99,346.52,378.94,389.3318182,384.8518182,379.0818182,369.42,372.52,404.79,405.77,383.85,352.3,351,353.66,351.5730769,363.42,367.27,364.985,371.5,393.79,,,,L8
2022-05-22 22:05:34+00:00,379.49,385.7485714,392.2746154,400.3833333,384.9933333,379.0733333,382.1433333,383.1327273,391.7927273,390.2427273,382.4333333,389.1033333,405.0511111,411.6866667,391.6066667,355.3111111,361.1933333,358.5833333,359.2546154,375.3233333,375.1966667,373.95,372.98,395.83,379.0011111,363.9966667,358.8666667,L8
2022-06-06 22:11:21+00:00,,,,,,,,,,,,369.3466667,397.0588889,394.2033333,383.4633333,352.8388889,355.8466667,352.6766667,356.71,360.8466667,358.7233333,359.575,368.69,387.22,364.6588889,350.0233333,347.7833333,L9
2022-06-07 22:05:43+00:00,383.62,378.9528571,382.35,384.3133333,369.7033333,370.3033333,378.5833333,383.8463636,376.6763636,372.8163636,369.0933333,367.7133333,393.3511111,397.2166667,391.6466667,350.6111111,348.4533333,350.3733333,353.35,365.4933333,358.1466667,367.515,370.32,398.81,369.3311111,354.7166667,352.2366667,L8
2022-06-14 22:11:59+00:00,385.7,386.4771429,386.0661538,387.3333333,372.6533333,373.8733333,380.9133333,382.9681818,383.0881818,373.3081818,367.6733333,373.7933333,399.4577778,399.9266667,392.3266667,357.3177778,350.6133333,352.4733333,354.1461538,365.9233333,358.8266667,362.845,374.39,397.06,374.2177778,353.0766667,353.7766667,L8
2022-06-21 20:36:35+00:00,,,,,361.9133333,365.0633333,,,,,,,,,,,,,,,,,,,,,,L7
2022-06-26 20:42:04+00:00,,377.1042857,,,371.41,365.6,380.18,378.0336364,374.2336364,370.1736364,365.38,,,,,,,,,,,,,,,,,L7
2022-06-30 22:12:03+00:00,,,,,,,,,,,376.83,381.17,403.8533333,402.1,382.01,353.0733333,355.21,351.81,357.7315385,364.57,364.23,368.28,377,389.88,371.7333333,355.89,350.15,L8
2022-07-01 22:05:30+00:00,387.4,383.6785714,389.2069231,388.4933333,378.4833333,377.1933333,385.8333333,387.0772727,386.1572727,381.3972727,372.3533333,382.6433333,408.1111111,414.1766667,391.2266667,359.6411111,361.4833333,355.4133333,366.5069231,370.6133333,367.2566667,377.335,384.73,408.19,384.8211111,366.0066667,363.2266667,L9
2022-07-16 22:12:03+00:00,387.66,381.9342857,393.2961538,389.5266667,381.2166667,375.3366667,384.5466667,388.2172727,386.6372727,380.8072727,371.0266667,377.4166667,402.3488889,418.6933333,399.6533333,360.5188889,355.6066667,359.1166667,358.4361538,369.6266667,364.5633333,368.915,391.2,395.76,383.5688889,361.8733333,364.1933333,L8
2022-07-25 20:34:09+00:00,,,,,,,,,,,,,,,,345.6311111,346.9433333,350.6633333,349.1253846,360.9433333,,,362.34,363.42,361.8411111,,,L7
2022-08-10 22:06:08+00:00,386.93,372.5271429,363.7,363.97,353.73,355.92,368.51,367.5381818,365.7481818,359.4381818,352.87,384.32,,447.9,,,,346.81,340.72,351.86,350.91,354.64,357.92,377.27,354.0966667,338.4,344.65,L8
2022-08-11 20:32:43+00:00,357.66,365.2528571,,,361.83,361.15,372.65,375.2436364,382.3836364,360.9436364,360.78,367.05,384.7966667,395.66,380.14,350.8766667,344.33,,,,,,,,,,,L7
2022-08-28 20:31:10+00:00,,,,375.05,368.08,368.52,377.85,381.4472727,383.7372727,365.8472727,364.67,364.86,390.28,405.47,385.77,354.23,350.37,350.55,352.8015385,361.83,358.71,358.215,378.04,391.09,376.72,352.02,,L7
2022-09-02 20:36:30+00:00,,,,,,,,,,,,,,365.58,355.37,330.8633333,,,,,,,,,,,,L7
2022-09-14 20:29:30+00:00,381.98,371.7985714,373.19,384.6866667,360.1466667,366.4266667,376.6066667,375.2845455,377.5245455,370.9845455,364.3966667,364.5966667,390.4855556,400.3033333,387.4233333,358.3755556,353.0966667,351.7766667,356.14,,,,,,,,,L7
2022-10-06 20:32:53+00:00,348.97,371.3557143,361.3923077,362.34,347.39,354.29,366.6,361.7718182,,,,,,,,,,,,347.94,345.6,354.23,361.39,382.01,359.66,340.51,344.43,L7
