dates,nzd0170-0000,nzd0170-0001,nzd0170-0002,nzd0170-0003,nzd0170-0004,nzd0170-0005,satname
2018-10-18 22:05:53+00:00,331.5433333,338.7773684,357.4882353,350.06,353.0671429,361.1333333,L8
2019-01-06 22:05:29+00:00,332.3933333,345.3673684,343.1941176,355.52,358.11,357.5533333,L8
2019-01-22 22:05:26+00:00,339.7666667,342.6621053,346.9570588,355.54,362.7357143,364.1166667,L8
2019-01-30 21:59:54+00:00,320.7766667,324.1821053,331.4952941,343.81,,,L7
2019-02-15 21:59:50+00:00,330.7133333,338.6852632,345.4117647,351.7,345.79,349.8933333,L7
2019-03-03 21:59:20+00:00,334.52,338.7747368,344.3817647,,,349.01,L7
2019-04-04 21:57:52+00:00,327.8066667,329.1547368,333.4423529,345.1,,344.4766667,L7
2019-04-12 22:05:06+00:00,334.3033333,336.33,340.5652941,353.76,359.7442857,364.8333333,L8
2019-04-20 21:57:42+00:00,,343.3373684,345.2594118,350.54,357.9642857,356.1266667,L7
2019-05-22 21:56:04+00:00,345.1133333,347.0784211,349.8452941,357.82,362.09,360.9333333,L7
2019-06-15 22:05:51+00:00,341.1466667,342.0231579,354.0705882,351.04,353.1671429,356.3566667,L8
2019-06-23 21:54:55+00:00,360.05,354.7321053,361.3764706,364.33,364.2371429,,L7
2019-07-17 22:05:59+00:00,337.1933333,347.4468421,356.2935294,360.44,358.93,360.3133333,L8
2019-08-10 21:53:01+00:00,328.8966667,337.7015789,346.9647059,353.99,346.89,351.8566667,L7
2019-08-26 21:52:45+00:00,336.0733333,338.7963158,354.0770588,365.48,353.1371429,336.3833333,L7
2019-09-19 22:06:20+00:00,336.13,337.8215789,340.3217647,350.78,365.83,352.69,L8
2019-10-29 21:50:00+00:00,323.8266667,325.1663158,339.5841176,,,351.1166667,L7
2019-11-06 22:06:24+00:00,334.6933333,342.7957895,357.6823529,352.31,353.52,358.1333333,L8
2019-11-22 22:05:57+00:00,332.8233333,336.2478947,343.5229412,346.91,347.0042857,353.7133333,L8
2019-12-24 22:05:53+00:00,318.9366667,314.5578947,333.7882353,343.18,336.9085714,341.5766667,L8
2020-01-01 21:46:53+00:00,,357.0210526,370.3011765,376.87,372.72,375.54,L7
2020-01-17 21:45:41+00:00,325.4066667,326.9378947,,345.19,355.0614286,356.5266667,L7
2020-01-25 22:05:45+00:00,330.9066667,346.9542105,342.5676471,356.52,359.34,366.2366667,L8
2020-02-02 21:45:17+00:00,336.2733333,341.9536842,356.6517647,358.43,354.8257143,361.3033333,L7
2020-02-10 22:05:40+00:00,338.8,351.1057895,353.8088235,358.18,363.5614286,369.37,L8
2020-03-13 22:05:54+00:00,324.83,327.5468421,336.62,341.69,339.9314286,343.82,L8
2020-04-06 21:41:25+00:00,310.9633333,324.4842105,325.8464706,335.4,,355.6433333,L7
2020-05-08 21:39:55+00:00,342.9033333,355.5752632,,365.99,349.7657143,360.3333333,L7
2020-06-01 22:05:08+00:00,,,,,299.3885714,321.3633333,L8
2020-06-09 21:38:00+00:00,,347.8684211,342.9452941,351.23,336,348.0233333,L7
2020-06-25 21:36:40+00:00,298.6366667,,313.4870588,328.17,365.3457143,,L7
2020-07-11 21:36:06+00:00,338.3266667,345.1094737,350.59,347.77,,354.1966667,L7
2020-07-19 22:05:31+00:00,319.9733333,326.8026316,329.0905882,337.49,325.8857143,328.9933333,L8
2020-07-27 21:35:07+00:00,338.1133333,334.8978947,336.4788235,,,,L7
2020-08-12 21:34:06+00:00,,334.7563158,342.0476471,346.42,347.9757143,339.87,L7
2020-08-28 21:32:41+00:00,324.4666667,329.9757895,340.2217647,349.12,340.8214286,347.1866667,L7
2020-09-21 22:05:54+00:00,342.2066667,340.7857895,345.4294118,359.96,367.67,350.9266667,L8
2020-09-29 21:30:59+00:00,326.6166667,339.9752632,339.2170588,352.37,349.8742857,349.7366667,L7
2020-10-31 21:28:54+00:00,,,337.3488235,351.35,,,L7
2020-11-24 22:05:58+00:00,337.1366667,,,,,327.3966667,L8
2021-02-12 22:06:07+00:00,330.33,330.4352632,340.2282353,351.29,350.0514286,348.79,L8
2021-02-20 21:20:25+00:00,,,341.6264706,356.27,349.7114286,341.53,L7
2021-03-24 21:17:54+00:00,321.2433333,338.8268421,334.1076471,353.81,353.1371429,351.9833333,L7
2021-04-01 22:05:48+00:00,325.5,328.4952632,338.3941176,355.28,350.3042857,351.31,L8
2021-04-25 21:15:14+00:00,320.3666667,334.7668421,334.9729412,356.76,351.3914286,344.7166667,L7
2021-05-03 22:05:32+00:00,333.8433333,338.7484211,345.4794118,354.94,361.5171429,363.7833333,L8
