dates,nzd0070-0000,nzd0070-0001,nzd0070-0002,nzd0070-0004,nzd0070-0005,nzd0070-0007,nzd0070-0008,nzd0070-0009,nzd0070-0010,nzd0070-0011,nzd0070-0012,nzd0070-0013,nzd0070-0014,nzd0070-0015,nzd0070-0016,nzd0070-0017,nzd0070-0018,nzd0070-0019,nzd0070-0020,nzd0070-0021,nzd0070-0022,nzd0070-0023,nzd0070-0024,nzd0070-0025,nzd0070-0026,nzd0070-0027,nzd0070-0028,nzd0070-0031,nzd0070-0032,nzd0070-0033,nzd0070-0034,nzd0070-0035,nzd0070-0036,satname
2006-04-15 22:03:30+00:00,420.8166667,419.1285714,398.8066667,405.89,389.2085714,396.17,373,343.77,358.71,376.32,363.2985714,361.3544444,,,,,,,,378.58,391.09,379.34,381.27,403.44,398.25,383.98,380.78,353.13,377.01,372.9166667,374.27,361.26,376.4185714,L5
2006-06-10 22:01:49+00:00,,,,,,371.44,393.92,359.32,343.89,,,375.1111111,370.02,363.3,372.2014286,,,,,,,,,,382.84,367.65,379.43,356.44,369.33,371.0566667,370.17,342.22,,L7
2006-06-26 22:01:44+00:00,,,,411.79,397.3071429,400.74,410.93,,,410.56,387.4571429,,,,,,,,,,,,,,,,,,,,,,,L7
2006-07-04 22:04:41+00:00,403.2666667,406.7428571,381.6866667,,363.7428571,,,345.28,341.5,,355.1028571,363.2977778,359.87,347.97,348.5128571,,,349.57,362.3,356.73,362.11,360.2,372.05,,359.74,368.83,367.38,339.46,334.71,,,,,L5
2006-07-27 22:11:11+00:00,431.6533333,429.25,424.6633333,404.92,384.9,390.67,401.57,,378.04,391.55,384.57,383.4822222,381.82,374.85,374.91,,372.3233333,381.95,404.01,367.53,371.45,376.78,389.85,412.12,398.56,393,400.96,378.96,390.52,382.7733333,382.72,,365.32,L5
2006-07-28 22:01:30+00:00,,,,,,376.38,391.45,355.19,365.36,,,,,,,,,,,,,,,,,,,,,,,,,L7
2006-09-05 22:07:35+00:00,407.43,415.7557143,385.67,385.3,367.2157143,348.25,366.65,,,,,,365.48,356.7,347.5457143,,324.16,344.03,374.54,333.29,346.86,343.35,350.54,375.1,365.72,358.62,,,352.48,356.9,345.06,342.41,355.3957143,L7
2006-10-07 22:07:20+00:00,418.99,416.6114286,399.62,413.94,,,,,366.99,399.41,377.2914286,374.2266667,369.04,366.15,375.2514286,384.93,362.54,384,405.64,,,,,,,,392.11,360.44,390.93,383.89,380.67,372.44,377.5314286,L7
2006-10-08 22:05:53+00:00,395.57,398.4442857,379.96,398.73,369.5142857,343.66,354.61,,,379.25,369.3542857,358.98,357.39,349.16,360.4942857,363.09,333.38,,371.92,329.94,347.39,354.29,369.56,385.28,373.53,369.49,368.2,328.31,359.56,357.6,368.98,337.99,368.2542857,L5
2006-10-24 22:06:02+00:00,414.14,420.8057143,395.72,399.64,375.7057143,371.31,395.79,,370.2,359.97,359.4457143,365.37,362.55,356.48,360.4857143,361.79,335.68,,387.41,341.59,367.42,362.12,369.36,396.67,375.42,362.97,369.6,322.98,354.27,364.1,361.79,341.58,354.2557143,L5
2006-12-10 22:08:08+00:00,423.9633333,424.1114286,425.1333333,402.68,390.7714286,385.3,387.56,,,,,,383.12,388.88,390.9814286,386.86,,391.39,399.15,,398.9,394.84,403.66,399.36,389.83,,,,375.56,381.4933333,373.41,353.06,355.5014286,L7
2006-12-11 22:06:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.13,,,,,L5
2007-01-04 22:02:01+00:00,458.22,452.6128571,452.99,,,,,,425.05,416.75,395.6028571,393.3433333,395.46,401.31,409.3328571,417.75,411.79,437.58,442,,,,,,,,,421.08,420.24,407.91,411.82,404.56,393.3428571,L7
2007-02-04 22:12:33+00:00,433.9666667,433.6042857,418.6366667,428.22,408.5042857,400.54,404.43,384.98,406.13,400.34,383.5042857,386.1811111,386.22,384.2,385.0142857,381.54,374.0266667,403.75,418.84,403.95,427.7,431.33,434.4,433.52,410.44,404.17,407.46,392.74,404.46,395.0866667,399.83,390.14,383.6742857,L5
2007-02-12 22:08:24+00:00,452.2433333,457.3,448.4233333,440.69,434,,,,,391.18,399.9,410.7222222,414.14,417.2,423.57,419.3,,397.81,405.77,413.8,419.63,446.56,451.09,443,,,,397.57,415.74,416.1633333,409.45,402.63,399.23,L7
2007-02-13 22:06:47+00:00,455.0533333,453.1971429,444.6233333,438.89,424.4471429,405.34,404.26,396.92,396.82,382.98,386.2571429,395.5955556,,,,,,,405.21,408.41,417.09,434.8,445.03,438.63,419.3,410.14,396.46,397.15,403.83,403.3133333,400.36,395.89,396.6671429,L5
